2023-03-25 23:12:46,668 INFO    MainThread:9500 [wandb_setup.py:_flush():76] Configure stats pid to 9500
2023-03-25 23:12:46,669 INFO    MainThread:9500 [wandb_setup.py:_flush():76] Loading settings from C:\Users\inigo\.config\wandb\settings
2023-03-25 23:12:46,669 INFO    MainThread:9500 [wandb_setup.py:_flush():76] Loading settings from F:\CV_MATERIAL\M6\WEEK3\detr\wandb\settings
2023-03-25 23:12:46,669 INFO    MainThread:9500 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-03-25 23:12:46,669 INFO    MainThread:9500 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-03-25 23:12:46,669 INFO    MainThread:9500 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': '..\\traindetr.py', 'program': 'f:\\cv_material\\m6\\week3\\traindetr.py'}
2023-03-25 23:12:46,669 INFO    MainThread:9500 [wandb_init.py:_log_setup():506] Logging user logs to F:\CV_MATERIAL\M6\WEEK3\detr\wandb\run-20230325_231246-wqzynxtb\logs\debug.log
2023-03-25 23:12:46,671 INFO    MainThread:9500 [wandb_init.py:_log_setup():507] Logging internal logs to F:\CV_MATERIAL\M6\WEEK3\detr\wandb\run-20230325_231246-wqzynxtb\logs\debug-internal.log
2023-03-25 23:12:46,671 INFO    MainThread:9500 [wandb_init.py:_jupyter_setup():452] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x0000022C8EBE3F70>
2023-03-25 23:12:46,671 INFO    MainThread:9500 [wandb_init.py:init():546] calling init triggers
2023-03-25 23:12:46,671 INFO    MainThread:9500 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {}
2023-03-25 23:12:46,671 INFO    MainThread:9500 [wandb_init.py:init():602] starting backend
2023-03-25 23:12:46,671 INFO    MainThread:9500 [wandb_init.py:init():606] setting up manager
2023-03-25 23:12:46,677 INFO    MainThread:9500 [wandb_init.py:init():613] backend started and connected
2023-03-25 23:12:46,678 INFO    MainThread:9500 [wandb_run.py:_label_probe_notebook():1202] probe notebook
2023-03-25 23:12:46,678 INFO    MainThread:9500 [wandb_run.py:_label_probe_notebook():1212] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-03-25 23:12:46,678 INFO    MainThread:9500 [wandb_init.py:init():701] updated telemetry
2023-03-25 23:12:46,776 INFO    MainThread:9500 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-25 23:12:47,494 INFO    MainThread:9500 [wandb_run.py:_on_init():2131] communicating current version
2023-03-25 23:12:47,725 INFO    MainThread:9500 [wandb_run.py:_on_init():2140] got version response upgrade_message: "wandb version 0.14.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-03-25 23:12:47,725 INFO    MainThread:9500 [wandb_init.py:init():789] starting run threads in backend
2023-03-25 23:12:47,991 INFO    MainThread:9500 [wandb_run.py:_console_start():2112] atexit reg
2023-03-25 23:12:47,991 INFO    MainThread:9500 [wandb_run.py:_redirect():1967] redirect: SettingsConsole.OFF
2023-03-25 23:12:47,993 INFO    MainThread:9500 [wandb_init.py:init():831] run started, returning control to user process
2023-03-25 23:15:22,243 INFO    MainThread:9500 [wandb_run.py:_finish():1852] finishing run mcv-m5-team4/detrFineTune/wqzynxtb
2023-03-25 23:15:22,244 INFO    MainThread:9500 [jupyter.py:save_history():445] not saving jupyter history
2023-03-25 23:15:22,244 INFO    MainThread:9500 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-03-25 23:15:22,244 INFO    MainThread:9500 [wandb_init.py:_jupyter_teardown():434] cleaning up jupyter logic
2023-03-25 23:15:22,244 INFO    MainThread:9500 [wandb_run.py:_atexit_cleanup():2081] got exitcode: 0
2023-03-25 23:15:22,244 INFO    MainThread:9500 [wandb_run.py:_restore():2064] restore
2023-03-25 23:15:22,244 INFO    MainThread:9500 [wandb_run.py:_restore():2070] restore done
2023-03-25 23:15:27,115 INFO    MainThread:9500 [wandb_run.py:_footer_history_summary_info():3429] rendering history
2023-03-25 23:15:27,115 INFO    MainThread:9500 [wandb_run.py:_footer_history_summary_info():3461] rendering summary
2023-03-25 23:15:27,123 INFO    MainThread:9500 [wandb_run.py:_footer_sync_info():3387] logging synced files
